id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15721585.0,Nkemakonam,593.0,Germany,Female,39.0,4.0,80927.56,2.0,0.0,0.0,108008.65,0.0
1,15802858.0,Smith,646.0,France,Female,24.0,1.0,0.0,2.0,1.0,1.0,140650.19,0.0
2,15767339.0,Chien,646.0,France,Male,36.0,3.0,142929.17,1.0,1.0,0.0,181461.46,0.0
3,15654060.0,Chukwudi,614.0,France,Male,44.0,2.0,0.0,2.0,0.0,1.0,140579.17,0.0
4,15771270.0,Cattaneo,678.0,Germany,Female,32.0,1.0,123309.52,1.0,1.0,0.0,100998.5,0.0
5,15777959.0,Chinwemma,641.0,France,Male,29.0,5.0,0.0,1.0,1.0,1.0,90883.12,0.0
6,15589563.0,Ch'ang,641.0,France,Male,31.0,2.0,0.0,2.0,1.0,1.0,145562.4,0.0
7,15793883.0,Tien,607.0,France,Male,31.0,5.0,0.0,2.0,1.0,0.0,148527.56,0.0
8,15796834.0,Chukwufumnanya,753.0,Germany,Male,32.0,3.0,107174.62,1.0,0.0,1.0,54439.53,0.0
9,15686963.0,Milani,725.0,France,Female,52.0,4.0,126473.33,1.0,1.0,1.0,80593.39,1.0
10,15597930.0,Lai,535.0,Germany,Male,35.0,3.0,148045.45,2.0,1.0,0.0,12128.69,0.0
11,15702919.0,Chukwujekwu,584.0,France,Male,42.0,1.0,141918.09,1.0,0.0,1.0,51919.04,0.0
12,15806922.0,Scott,756.0,Spain,Male,37.0,2.0,141806.0,1.0,1.0,0.0,175094.62,0.0
13,15645059.0,Lucchesi,785.0,France,Female,33.0,7.0,0.0,2.0,1.0,1.0,182059.28,0.0
14,15809279.0,Onwuamaeze,590.0,France,Male,36.0,8.0,0.0,2.0,1.0,1.0,60954.45,0.0
15,15605327.0,Chukwukadibia,729.0,Spain,Female,44.0,3.0,105229.72,1.0,1.0,0.0,142223.94,0.0
16,15693322.0,Ikedinachukwu,585.0,France,Male,35.0,2.0,0.0,2.0,1.0,0.0,80701.72,0.0
17,15658158.0,Ponce,597.0,France,Female,50.0,3.0,0.0,1.0,1.0,1.0,43486.73,1.0
18,15592230.0,Hsieh,724.0,Spain,Male,40.0,5.0,0.0,2.0,1.0,1.0,62845.64,0.0
19,15693814.0,Onwumelu,806.0,Germany,Male,36.0,5.0,146301.31,1.0,0.0,1.0,15650.89,1.0
20,15783338.0,Shih,632.0,France,Female,25.0,4.0,0.0,1.0,1.0,1.0,136983.78,0.0
21,15603481.0,Chia,599.0,Germany,Female,39.0,8.0,83543.37,2.0,1.0,1.0,75884.65,0.0
22,15809178.0,Chukwudi,712.0,France,Female,48.0,2.0,0.0,2.0,1.0,0.0,66963.15,0.0
23,15603764.0,Chin,611.0,Germany,Male,33.0,6.0,138190.13,1.0,1.0,0.0,182775.07,0.0
24,15591386.0,Y?an,587.0,Spain,Female,37.0,3.0,0.0,2.0,1.0,1.0,126475.79,0.0
25,15806079.0,Nwachinemelu,662.0,Germany,Male,37.0,5.0,115518.07,2.0,1.0,1.0,76614.04,0.0
26,15669410.0,Clements,718.0,Spain,Male,36.0,9.0,0.0,2.0,0.0,1.0,102975.72,0.0
27,15797900.0,Chukwuemeka,684.0,France,Male,37.0,6.0,0.0,1.0,1.0,0.0,118711.75,0.0
28,15774727.0,Ozerova,577.0,France,Female,33.0,3.0,0.0,2.0,1.0,0.0,120138.27,0.0
29,15662434.0,Mazzi,632.0,Germany,Male,34.0,9.0,109730.22,1.0,1.0,1.0,77830.36,0.0
30,15783875.0,Chiedozie,653.0,France,Male,29.0,1.0,0.0,2.0,0.0,1.0,152491.11,0.0
31,15758845.0,Sholes,756.0,Spain,Male,41.0,2.0,0.0,2.0,1.0,1.0,75927.35,0.0
32,15803365.0,Okonkwo,577.0,Spain,Female,51.0,8.0,0.0,1.0,1.0,1.0,106981.03,1.0
33,15604073.0,Obiajulu,648.0,Germany,Male,45.0,8.0,148912.44,2.0,1.0,1.0,175071.29,0.0
34,15696733.0,Chukwuemeka,651.0,France,Female,36.0,4.0,0.0,2.0,1.0,0.0,91044.47,0.0
